REPUBLIC OF THE PHILIPPINES,,,,,,,,,,,,,,,,,
PROVINCE OF NUEVA ECIJA,,,,,,,,,,,,,,,,,
Office of the Treasurer - Municipality of Santa Rosa,,,,,,,,,,,,,,,,,
NOTICE OF DELINQUENCY IN THE PAYMENT OF REAL PROPERTY TAX (RA 7160 SEC. 254),,,,,,,,,,,,,,,,,
,,,,,,,Notice Ref:,NOD-17-23001-00001-2026,,Date:,September 21 2026,,,,,
Tax Declaration No.,,Area,Assessed Value,Location,,Kind of Property,,,,Year,Unpaid Taxes,,Penalties/Discount,,Total Tax Delinquency,,
17-23001-00001,,101,80100.00,Rizal (Poblacion) Santa Rosa,,Residential,,,,2024,801.00,,528.66,,1329.66,,
17-23001-00001,,101,80100.00,Rizal (Poblacion) Santa Rosa,,Residential,,,,2025,801.00,,336.42,,1137.42,,
17-23001-00001,,101,80100.00,Rizal (Poblacion) Santa Rosa,,Residential,,,,2026 1-2Q,400.50,,72.09,,472.59,,
17-23001-00001,,101,80100.00,Rizal (Poblacion) Santa Rosa,,Residential,,,,2026 3-4 Q,400.50,,0.00,,400.50,,
,,,,,,,,,,,,,BASIC,,3340.17,,
,,,,,,,,,,,,,SEF,,3340.17,,
,,,,,,,,,,,,,TOTAL,,6680.34,,
Prepared by:,,,,,,,Received by:,,,,,,Approved by:,,,
Revenue Collection Clerk,,,,,,,Signature over printed name and Date,,,,,,Municipal Treasurer,,,
