REPUBLIC OF THE PHILIPPINES,,,,,,,,,,,,,,,,,
PROVINCE OF NUEVA ECIJA,,,,,,,,,,,,,,,,,
Office of the Treasurer,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
NOTICE OF DELIQUENCY IN THE PAYMENT OF REAL PROPERTY TAX IN THE,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,OR#,,,,,,Date:,SEPTEMBER 01-31 2026,,,
,,,,,,,,,,,,,,,,,
,,,,,,LAST PAYMENT:,,,,,,,,,,,
,"Notice is hereby served pursuant to the provision of Section 254, Republic Act No. 7160 ( Local Government Code of 1991 ) the Real Property Tax for Calendar",,,,,,,,,,,,,,,,
"year  2025  and the previous years, has been delinquent with the respect to the figures.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Tax Declaration No.,,Area,"Assess
Value",Location,,Kind of Property,,,,Year,Unpaid Taxes,,Penalties/Discount,,Total Tax Delinquency,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,1973-79, -   ,, -   ,, -   ,,
,,,,,,,,,,1980-85, -   ,, -   ,, -   ,,
,,,,,,,,,,1986, -   ,, -   ,, -   ,,
,,,,,,,,,,1987-1991, -   ,, -   ,, -   ,,
,,,,,,,,,,1992-1993, -   ,, -   ,, -   ,,
,,,,,,,,,,1994-2005, -   ,, -   ,, -   ,,
,,,,,,,,,,2006-11, -   ,, -   ,, -   ,,
,,,,,,,,,,2012, -   ,, -   ,, -   ,,
,,,,,,,,,,2013, -   ,, -   ,, -   ,,
,,, -   ,,,,,,,2014, -   ,, -   ,, -   ,,
,,,,,,,,,,2015, -   ,, -   ,, -   ,,
,,,,,,,,,,2016, -   ,, -   ,, -   ,,
,,,,,,,,,,2017, -   ,, -   ,, -   ,,
,,,,,,,,,,2018, -   ,, -   ,, -   ,,
,,,,,,,,,,2019, -   ,, -   ,, -   ,,
,,,,,,,,,,2020, -   ,, -   ,, -   ,,
,,,,,,,,,,2021, -   ,, -   ,, -   ,,
,,,,,,,,,,2022, -   ,, -   ,, -   ,,
,,,,,,,,,,2023, -   ,, -   ,, -   ,,
,,,,,,,,,,2024, -   ,, -   ,, -   ,,
,,,,,,,,,,2025, -   ,, -   ,, -   ,,
,,,,,,,,,,2026 1-2Q, -   ,, -   ,, -   ,,
,,,,,,,,,,2026 3-4 Q, -   ,,,, -   ,,
,,,,,,,,,,2027, -   ,, -   ,, -   ,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,BASIC,, -   ,,
,,,,,,,,,,,,,SEF,, -   ,,
,,,,,,,,,,,,,TOTAL,, -   ,,
Prepared by:,,,,,,,Received by:,,,,,,,,,,
,,,,,,,,,,,,,Myra V. Cunanan,,,,
Revenue Collection Clerk,,,,,,,Signature over printed name & Date,,,,,,Municipal Treasurer,,,, 
